Ch1_X	Ch1_Y	Ch1_Z	Ch1_phi	Ch1_theta	Ch1_RMS	Ch1_Extra	Ch2_X	Ch2_Y	Ch2_Z	Ch2_phi	Ch2_theta	Ch2_RMS	Ch2_Extra	Ch3_X	Ch3_Y	Ch3_Z	Ch3_phi	Ch3_theta	Ch3_RMS	Ch3_Extra	Ch4_X	Ch4_Y	Ch4_Z	Ch4_phi	Ch4_theta	Ch4_RMS	Ch4_Extra	Ch5_X	Ch5_Y	Ch5_Z	Ch5_phi	Ch5_theta	Ch5_RMS	Ch5_Extra	Ch6_X	Ch6_Y	Ch6_Z	Ch6_phi	Ch6_theta	Ch6_RMS	Ch6_Extra	Ch7_X	Ch7_Y	Ch7_Z	Ch7_phi	Ch7_theta	Ch7_RMS	Ch7_Extra	Ch8_X	Ch8_Y	Ch8_Z	Ch8_phi	Ch8_theta	Ch8_RMS	Ch8_Extra	Ch9_X	Ch9_Y	Ch9_Z	Ch9_phi	Ch9_theta	Ch9_RMS	Ch9_Extra	Ch10_X	Ch10_Y	Ch10_Z	Ch10_phi	Ch10_theta	Ch10_RMS	Ch10_Extra	Ch11_X	Ch11_Y	Ch11_Z	Ch11_phi	Ch11_theta	Ch11_RMS	Ch11_Extra	Ch12_X	Ch12_Y	Ch12_Z	Ch12_phi	Ch12_theta	Ch12_RMS	Ch12_Extra	Ch13_X	Ch13_Y	Ch13_Z	Ch13_phi	Ch13_theta	Ch13_RMS	Ch13_Extra	Ch14_X	Ch14_Y	Ch14_Z	Ch14_phi	Ch14_theta	Ch14_RMS	Ch14_Extra	Ch15_X	Ch15_Y	Ch15_Z	Ch15_phi	Ch15_theta	Ch15_RMS	Ch15_Extra	Ch16_X	Ch16_Y	Ch16_Z	Ch16_phi	Ch16_theta	Ch16_RMS	Ch16_Extra
98.19	-9.94	-77.37	-94.46	73.77	3.11	0.00	124.67	-8.18	33.18	-178.77	25.68	4.20	0.00	12.01	66.41	-8.43	-170.82	-8.53	6.45	0.00	-0.79	-57.10	-8.48	-21.76	20.88	7.66	0.00	121.69	-11.63	-13.13	-44.35	-48.71	6.24	0.00	120.66	-9.78	-35.64	-175.01	11.05	4.12	0.00	-15.96	153.28	-640.27	-148.01	-11.37	60.34	0.00	89.00	10.52	-17.36	61.31	-63.06	8.16	0.00	106.56	-8.38	-19.94	4.58	-16.65	4.04	0.00	90.43	-3.78	-12.26	131.77	10.86	4.29	0.00	-248.91	144.58	-352.53	-166.67	-36.02	9709.28	0.00	79.91	13.66	-17.84	117.80	-19.05	5.73	0.00	79.66	-28.58	-12.98	100.01	4.49	4.71	0.00	180.52	317.47	-616.66	-33.27	-14.72	69.03	0.00	418.71	-57.15	-659.34	111.98	6.70	24.34	0.00	112.57	-4.03	-38.60	-34.43	47.44	3.20	0.00
98.23	-9.95	-77.38	-94.51	73.78	3.01	0.00	124.67	-8.18	33.18	-178.77	25.68	4.09	0.00	12.01	66.41	-8.43	-170.82	-8.53	6.98	0.00	-0.79	-57.10	-8.48	-21.76	20.89	7.39	0.00	121.68	-11.62	-13.13	-44.35	-48.72	6.33	0.00	120.64	-9.78	-35.64	-175.01	11.05	3.88	0.00	-16.13	154.17	-639.31	-148.22	-11.37	70.43	0.00	89.01	10.52	-17.35	61.33	-63.04	8.83	0.00	106.60	-8.39	-19.92	4.60	-16.66	4.39	0.00	90.43	-3.79	-12.26	131.77	10.86	4.19	0.00	-248.90	144.56	-352.55	-166.66	-36.02	10556.46	0.00	79.93	13.67	-17.85	117.80	-19.05	5.78	0.00	79.66	-28.58	-12.98	100.01	4.49	4.84	0.00	170.87	312.52	-613.57	-31.86	-14.86	29.81	0.00	418.73	-57.17	-659.34	111.98	6.69	89.62	0.00	112.54	-4.04	-38.61	-34.44	47.44	3.41	0.00
98.27	-9.95	-77.39	-94.56	73.79	3.40	0.00	124.66	-8.18	33.18	-178.77	25.68	3.98	0.00	12.01	66.41	-8.43	-170.82	-8.53	6.89	0.00	-0.79	-57.10	-8.48	-21.76	20.89	6.85	0.00	121.67	-11.63	-13.13	-44.35	-48.73	6.47	0.00	120.66	-9.79	-35.63	-175.02	11.04	3.93	0.00	-15.91	153.14	-640.38	-147.99	-11.37	53.43	0.00	89.04	10.53	-17.35	61.32	-63.02	9.01	0.00	106.66	-8.42	-19.89	4.61	-16.65	4.05	0.00	90.41	-3.79	-12.27	131.77	10.87	4.10	0.00	-248.89	144.54	-352.56	-166.66	-36.02	11275.15	0.00	79.93	13.67	-17.86	117.79	-19.04	5.57	0.00	79.66	-28.58	-12.98	100.00	4.49	4.97	0.00	175.93	315.07	-615.21	-32.60	-14.78	74.97	0.00	418.74	-57.19	-659.34	111.98	6.69	80.93	0.00	112.54	-4.05	-38.62	-34.45	47.45	3.45	0.00
98.28	-9.92	-77.39	-94.59	73.78	3.78	0.00	124.66	-8.18	33.18	-178.77	25.68	3.84	0.00	12.01	66.41	-8.43	-170.82	-8.53	6.64	0.00	-0.79	-57.10	-8.48	-21.76	20.89	7.24	0.00	121.66	-11.63	-13.13	-44.35	-48.73	6.39	0.00	120.70	-9.80	-35.62	-175.03	11.03	4.03	0.00	-15.45	150.98	-642.64	-147.50	-11.35	88.65	0.00	89.07	10.54	-17.35	61.31	-62.99	8.63	0.00	106.69	-8.44	-19.89	4.62	-16.64	3.94	0.00	90.38	-3.79	-12.27	131.76	10.88	4.30	0.00	-248.88	144.52	-352.57	-166.66	-36.02	11761.52	0.00	79.92	13.67	-17.85	117.79	-19.03	5.81	0.00	79.67	-28.58	-12.98	100.00	4.48	4.95	0.00	187.42	320.90	-618.91	-34.25	-14.60	45.46	0.00	418.76	-57.20	-659.34	111.98	6.69	30.16	0.00	112.56	-4.05	-38.62	-34.46	47.46	3.32	0.00
98.25	-9.88	-77.38	-94.57	73.75	3.23	0.00	124.66	-8.18	33.18	-178.77	25.68	3.86	0.00	12.01	66.41	-8.43	-170.82	-8.53	6.95	0.00	-0.79	-57.10	-8.48	-21.75	20.89	7.59	0.00	121.66	-11.64	-13.13	-44.35	-48.74	6.27	0.00	120.72	-9.80	-35.62	-175.04	11.03	4.08	0.00	-15.28	150.18	-643.47	-147.32	-11.35	48.71	0.00	89.09	10.55	-17.35	61.31	-62.97	8.61	0.00	106.66	-8.44	-19.91	4.62	-16.64	3.93	0.00	90.37	-3.79	-12.26	131.75	10.89	4.21	0.00	-248.87	144.50	-352.58	-166.65	-36.02	11995.72	0.00	79.90	13.66	-17.85	117.78	-19.02	5.68	0.00	79.67	-28.58	-12.98	100.00	4.48	4.93	0.00	192.13	323.28	-620.43	-34.91	-14.53	66.94	0.00	418.78	-57.22	-659.33	111.98	6.69	51.28	0.00	112.59	-4.05	-38.63	-34.47	47.46	3.14	0.00
98.22	-9.86	-77.38	-94.54	73.73	3.21	0.00	124.66	-8.18	33.18	-178.77	25.68	4.39	0.00	12.02	66.41	-8.43	-170.82	-8.53	7.20	0.00	-0.79	-57.10	-8.48	-21.75	20.89	7.31	0.00	121.67	-11.63	-13.14	-44.34	-48.74	6.27	0.00	120.73	-9.80	-35.62	-175.04	11.03	4.20	0.00	-15.67	152.09	-641.45	-147.76	-11.36	60.58	0.00	89.10	10.55	-17.35	61.34	-62.95	8.69	0.00	106.59	-8.41	-19.95	4.62	-16.65	3.91	0.00	90.36	-3.79	-12.26	131.74	10.89	4.17	0.00	-248.86	144.49	-352.59	-166.65	-36.02	12106.72	0.00	79.89	13.66	-17.85	117.77	-19.02	5.48	0.00	79.68	-28.58	-12.98	100.00	4.48	4.97	0.00	186.48	320.39	-618.63	-34.11	-14.62	71.85	0.00	418.79	-57.22	-659.33	111.99	6.69	68.29	0.00	112.60	-4.04	-38.62	-34.47	47.46	3.15	0.00
98.20	-9.86	-77.37	-94.52	73.73	3.60	0.00	124.66	-8.18	33.18	-178.77	25.68	4.51	0.00	12.02	66.41	-8.43	-170.81	-8.52	6.72	0.00	-0.79	-57.10	-8.48	-21.75	20.90	7.08	0.00	121.68	-11.62	-13.14	-44.33	-48.73	6.52	0.00	120.71	-9.80	-35.63	-175.04	11.03	4.01	0.00	-16.25	154.90	-638.48	-148.40	-11.37	68.81	0.00	89.09	10.54	-17.35	61.39	-62.93	8.51	0.00	106.53	-8.39	-19.99	4.63	-16.66	4.19	0.00	90.36	-3.80	-12.27	131.73	10.90	4.32	0.00	-248.85	144.47	-352.60	-166.65	-36.02	12144.61	0.00	79.90	13.66	-17.85	117.77	-19.02	5.89	0.00	79.69	-28.58	-12.99	100.00	4.48	4.67	0.00	178.36	316.23	-616.03	-32.94	-14.74	72.95	0.00	418.81	-57.23	-659.33	111.99	6.68	65.74	0.00	112.60	-4.03	-38.62	-34.47	47.45	3.40	0.00
98.20	-9.91	-77.37	-94.51	73.74	3.43	0.00	124.66	-8.18	33.18	-178.77	25.68	4.31	0.00	12.02	66.41	-8.43	-170.81	-8.52	6.67	0.00	-0.79	-57.10	-8.48	-21.75	20.90	7.17	0.00	121.68	-11.61	-13.13	-44.31	-48.74	6.35	0.00	120.70	-9.81	-35.64	-175.04	11.04	4.08	0.00	-16.30	155.18	-638.17	-148.47	-11.37	55.09	0.00	89.08	10.53	-17.35	61.45	-62.92	8.29	0.00	106.51	-8.38	-20.00	4.64	-16.65	4.30	0.00	90.36	-3.79	-12.27	131.73	10.92	4.13	0.00	-248.84	144.46	-352.61	-166.65	-36.02	12122.23	0.00	79.91	13.66	-17.85	117.77	-19.01	5.84	0.00	79.69	-28.58	-12.99	100.00	4.49	4.77	0.00	176.72	315.39	-615.51	-32.70	-14.76	44.00	0.00	418.83	-57.23	-659.33	111.99	6.68	64.30	0.00	112.60	-4.02	-38.61	-34.47	47.45	3.50	0.00
98.20	-9.95	-77.38	-94.50	73.76	3.26	0.00	124.65	-8.18	33.18	-178.76	25.68	4.22	0.00	12.02	66.41	-8.43	-170.81	-8.52	6.87	0.00	-0.79	-57.10	-8.48	-21.75	20.90	7.48	0.00	121.67	-11.59	-13.13	-44.29	-48.75	6.02	0.00	120.69	-9.82	-35.64	-175.04	11.05	4.36	0.00	-15.55	151.85	-641.64	-147.72	-11.36	66.71	0.00	89.05	10.52	-17.35	61.50	-62.92	8.33	0.00	106.54	-8.40	-19.99	4.66	-16.64	4.04	0.00	90.35	-3.79	-12.28	131.72	10.94	4.18	0.00	-248.83	144.44	-352.61	-166.64	-36.02	12253.66	0.00	79.93	13.66	-17.85	117.76	-19.01	5.69	0.00	79.69	-28.57	-12.99	100.01	4.49	5.22	0.00	182.07	318.11	-617.24	-33.47	-14.68	51.47	0.00	418.85	-57.23	-659.32	111.99	6.68	62.71	0.00	112.61	-4.02	-38.61	-34.48	47.46	3.22	0.00
98.20	-9.96	-77.39	-94.48	73.77	2.97	0.00	124.65	-8.18	33.17	-178.76	25.68	4.33	0.00	12.02	66.41	-8.43	-170.81	-8.52	6.88	0.00	-0.79	-57.10	-8.48	-21.75	20.90	7.45	0.00	121.66	-11.58	-13.13	-44.28	-48.76	6.38	0.00	120.67	-9.81	-35.65	-175.04	11.05	4.11	0.00	-14.74	148.24	-645.41	-146.91	-11.34	70.18	0.00	89.04	10.51	-17.35	61.55	-62.91	8.19	0.00	106.57	-8.43	-19.98	4.68	-16.64	3.77	0.00	90.35	-3.79	-12.30	131.72	10.96	4.23	0.00	-248.82	144.43	-352.62	-166.64	-36.02	12266.39	0.00	79.94	13.65	-17.84	117.76	-19.01	5.65	0.00	79.69	-28.57	-12.98	100.01	4.48	4.89	0.00	187.53	320.88	-618.99	-34.25	-14.59	49.06	0.00	418.88	-57.22	-659.32	111.99	6.68	70.04	0.00	112.62	-4.03	-38.61	-34.48	47.46	3.20	0.00
